Ranking,Team Name,Hyperlink,Wins,Losses,Ties,Winning Percentage,Season
1,Virginia (ACC),https://stats.ncaa.org/team/746.0/10561,56,12,0,0.824,2010-11
2,Vanderbilt (SEC),https://stats.ncaa.org/team/736.0/10561,54,12,0,0.818,2010-11
3,South Carolina (SEC),https://stats.ncaa.org/team/648.0/10561,55,14,0,0.797,2010-11
4,Stony Brook (America East),https://stats.ncaa.org/team/683.0/10561,42,12,0,0.778,2010-11
5,North Carolina (ACC),https://stats.ncaa.org/team/457.0/10561,51,16,0,0.761,2010-11
6,Creighton (MVC),https://stats.ncaa.org/team/169.0/10561,45,16,0,0.738,2010-11
7,Florida (SEC),https://stats.ncaa.org/team/235.0/10561,53,19,0,0.736,2010-11
8,Charlotte (Atlantic 10),https://stats.ncaa.org/team/458.0/10561,43,16,0,0.729,2010-11
9,Kent St. (MAC),https://stats.ncaa.org/team/331.0/10561,45,17,0,0.726,2010-11
10,Texas (Big 12),https://stats.ncaa.org/team/703.0/10561,49,19,0,0.721,2010-11
11,Dartmouth (Ivy League),https://stats.ncaa.org/team/172.0/10561,30,12,0,0.714,2010-11
11,Fresno St. (WAC),https://stats.ncaa.org/team/96.0/10561,40,16,0,0.714,2010-11
13,Florida St. (ACC),https://stats.ncaa.org/team/234.0/10561,46,19,0,0.708,2010-11
14,Cal St. Fullerton (Big West),https://stats.ncaa.org/team/97.0/10561,41,17,0,0.707,2010-11
15,UC Irvine (Big West),https://stats.ncaa.org/team/109.0/10561,43,18,0,0.705,2010-11
15,Arizona St. (Pac-12),https://stats.ncaa.org/team/28.0/10561,43,18,0,0.705,2010-11
17,Troy (Sun Belt),https://stats.ncaa.org/team/716.0/10561,43,19,0,0.694,2010-11
17,TCU (Mountain West),https://stats.ncaa.org/team/698.0/10561,43,19,0,0.694,2010-11
19,UConn (AAC),https://stats.ncaa.org/team/164.0/10561,45,20,1,0.689,2010-11
20,James Madison (CAA),https://stats.ncaa.org/team/317.0/10561,42,19,0,0.689,2010-11
21,Oklahoma (Big 12),https://stats.ncaa.org/team/522.0/10561,41,19,0,0.683,2010-11
21,Oregon St. (Pac-12),https://stats.ncaa.org/team/528.0/10561,41,19,0,0.683,2010-11
23,Stetson (ASUN),https://stats.ncaa.org/team/678.0/10561,43,20,0,0.683,2010-11
23,Clemson (ACC),https://stats.ncaa.org/team/147.0/10561,43,20,0,0.683,2010-11
25,Texas A&M (Big 12),https://stats.ncaa.org/team/697.0/10561,47,22,0,0.681,2010-11
26,Coastal Carolina (Big South),https://stats.ncaa.org/team/149.0/10561,42,20,0,0.677,2010-11
26,DBU (DBU),https://stats.ncaa.org/team/1045.0/10561,42,20,0,0.677,2010-11
28,Marist (MAAC),https://stats.ncaa.org/team/386.0/10561,35,17,0,0.673,2010-11
29,Southern Miss. (CUSA),https://stats.ncaa.org/team/664.0/10561,39,19,0,0.672,2010-11
30,Georgia Tech (ACC),https://stats.ncaa.org/team/255.0/10561,42,21,0,0.667,2010-11
30,Illinois St. (MVC),https://stats.ncaa.org/team/299.0/10561,36,18,0,0.667,2010-11
30,Rice (CUSA),https://stats.ncaa.org/team/574.0/10561,42,21,0,0.667,2010-11
33,FIU (Sun Belt),https://stats.ncaa.org/team/231.0/10561,40,20,1,0.664,2010-11
34,East Carolina (CUSA),https://stats.ncaa.org/team/196.0/10561,41,21,0,0.661,2010-11
35,Mercer (ASUN),https://stats.ncaa.org/team/406.0/10561,39,20,0,0.661,2010-11
36,Monmouth (NEC),https://stats.ncaa.org/team/439.0/10561,36,19,0,0.655,2010-11
36,Wright St. (Horizon),https://stats.ncaa.org/team/810.0/10561,36,19,0,0.655,2010-11
38,Arizona (Pac-12),https://stats.ncaa.org/team/29.0/10561,39,21,0,0.650,2010-11
39,Purdue (Big Ten),https://stats.ncaa.org/team/559.0/10561,37,20,0,0.649,2010-11
39,South Dakota St. (Summit League),https://stats.ncaa.org/team/649.0/10561,37,20,0,0.649,2010-11
41,Rider (MAAC),https://stats.ncaa.org/team/576.0/10561,33,18,0,0.647,2010-11
42,Arkansas (SEC),https://stats.ncaa.org/team/31.0/10561,40,22,0,0.645,2010-11
43,LSU (SEC),https://stats.ncaa.org/team/365.0/10561,36,20,0,0.643,2010-11
44,Manhattan (MAAC),https://stats.ncaa.org/team/381.0/10561,34,19,0,0.642,2010-11
45,Texas St. (Southland),https://stats.ncaa.org/team/670.0/10561,41,23,0,0.641,2010-11
46,Col. of Charleston (SoCon),https://stats.ncaa.org/team/1014.0/10561,39,22,0,0.639,2010-11
46,Oral Roberts (Summit League),https://stats.ncaa.org/team/527.0/10561,39,22,0,0.639,2010-11
48,Georgia St. (CAA),https://stats.ncaa.org/team/254.0/10561,37,21,0,0.638,2010-11
49,Elon (SoCon),https://stats.ncaa.org/team/1068.0/10561,36,21,0,0.632,2010-11
49,ETSU (ASUN),https://stats.ncaa.org/team/198.0/10561,36,21,0,0.632,2010-11
49,Michigan St. (Big Ten),https://stats.ncaa.org/team/416.0/10561,36,21,0,0.632,2010-11
52,UNC Greensboro (SoCon),https://stats.ncaa.org/team/459.0/10561,34,20,0,0.630,2010-11
53,UCF (CUSA),https://stats.ncaa.org/team/128.0/10561,39,23,0,0.629,2010-11
54,Eastern Mich. (MAC),https://stats.ncaa.org/team/204.0/10561,37,22,0,0.627,2010-11
55,Gonzaga (WCC),https://stats.ncaa.org/team/260.0/10561,32,19,1,0.625,2010-11
56,Miami (FL) (ACC),https://stats.ncaa.org/team/415.0/10561,38,23,0,0.623,2010-11
56,California (Pac-12),https://stats.ncaa.org/team/107.0/10561,38,23,0,0.623,2010-11
58,St. John's (NY) (AAC),https://stats.ncaa.org/team/603.0/10561,36,22,0,0.621,2010-11
59,SFA (Southland),https://stats.ncaa.org/team/676.0/10561,37,23,0,0.617,2010-11
59,Samford (SoCon),https://stats.ncaa.org/team/625.0/10561,37,23,0,0.617,2010-11
61,Southeastern La. (Southland),https://stats.ncaa.org/team/655.0/10561,35,22,0,0.614,2010-11
